# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
1.235000000000000000e+02 6.662813520039873039e-01 5.956035531866825661e-01 1.755033363237001653e+00 4.081965197811433654e+01
1.240000000000000000e+02 6.653616446853949373e-01 5.930006129513964996e-01 1.767261936351236740e+00 4.087958596818483414e+01
1.245000000000000000e+02 6.687834545646965667e-01 5.948342305511979955e-01 1.774531023305351507e+00 4.101886616421016640e+01
1.250000000000000000e+02 6.660132856337329654e-01 5.971281526779376181e-01 1.782514329845003909e+00 4.112891808457204235e+01
1.255000000000000000e+02 6.711017095419199441e-01 5.968917475760798785e-01 1.783278743024720114e+00 4.115675912037766437e+01
1.260000000000000000e+02 6.678090524432345187e-01 5.934900718575660816e-01 1.791567178668374671e+00 4.123731440373248347e+01
1.265000000000000000e+02 6.683001451923877845e-01 5.960645172580929518e-01 1.796695528993108804e+00 4.134325395096654887e+01
1.270000000000000000e+02 6.708773527493985256e-01 5.970556551099437392e-01 1.801615714402967194e+00 4.146526394548929773e+01
1.275000000000000000e+02 6.761819384982343806e-01 5.967712722970305306e-01 1.804743914033306584e+00 4.151826120896587469e+01
1.280000000000000000e+02 6.756506269496386219e-01 5.940196788852207810e-01 1.814981805259036296e+00 4.166937566287774786e+01
1.285000000000000000e+02 6.730542478930867656e-01 5.951371367235530618e-01 1.818118060383601575e+00 4.176305380864870642e+01
1.290000000000000000e+02 6.728263622705551450e-01 5.947384804956556970e-01 1.818693197915848714e+00 4.192052774847655883e+01
1.295000000000000000e+02 6.722976184131239652e-01 5.950207417408210908e-01 1.825872421596940631e+00 4.199385599981934547e+01
1.300000000000000000e+02 6.722505240356969614e-01 5.938892809670426320e-01 1.832067228192344910e+00 4.211086275454349703e+01
1.305000000000000000e+02 6.730385081124192759e-01 5.986331820113709457e-01 1.840168594878870856e+00 4.226454018076388053e+01
1.310000000000000000e+02 6.749706274318804100e-01 5.961872079177561456e-01 1.847624309556900712e+00 4.236767599462143608e+01
1.315000000000000000e+02 6.745901520916801619e-01 5.925413350582391381e-01 1.850521512233764154e+00 4.253311470858675847e+01
1.320000000000000000e+02 6.784868591788197900e-01 5.978727847858528177e-01 1.858915626374939789e+00 4.268769242428449218e+01
1.325000000000000000e+02 6.782468527923947166e-01 5.990911030308252450e-01 1.868546653573462724e+00 4.286460750484432936e+01
1.330000000000000000e+02 6.721040351134413005e-01 5.985275589895545645e-01 1.875408660621862289e+00 4.300627125434587583e+01
1.335000000000000000e+02 6.722519092333872903e-01 5.970610191038088210e-01 1.874662439389951141e+00 4.307807948567093348e+01
1.340000000000000000e+02 6.745339105601784180e-01 5.987732301979723504e-01 1.883062358129764746e+00 4.317761718030440932e+01
1.345000000000000000e+02 6.689847714012174817e-01 5.977787832793018952e-01 1.889933706819643344e+00 4.332923190070992092e+01
1.350000000000000000e+02 6.730350446316003543e-01 6.004257861495532200e-01 1.897206465038668188e+00 4.353654653972575517e+01
1.355000000000000000e+02 6.695460139835772706e-01 6.034755233561788224e-01 1.904426717897885979e+00 4.368588435324612362e+01
1.360000000000000000e+02 6.702920603454841642e-01 6.031861766314891016e-01 1.909653219307241523e+00 4.379107241056809130e+01
1.365000000000000000e+02 6.745945684899837813e-01 6.048732127346090337e-01 1.915362315976302909e+00 4.395769199298519680e+01
1.370000000000000000e+02 6.784021803585981170e-01 6.038862162559902602e-01 1.911527903238549264e+00 4.407903750403656318e+01
1.375000000000000000e+02 6.777563198474714223e-01 6.032161357831159476e-01 1.915522057055057292e+00 4.417631455825784315e+01
1.380000000000000000e+02 6.765113645709387447e-01 6.011686459951836037e-01 1.925520717839755092e+00 4.427016411155568676e+01
1.385000000000000000e+02 6.784900376660131238e-01 6.030226705360294259e-01 1.915544347485784504e+00 4.439655504029554578e+01
1.390000000000000000e+02 6.760586305903515392e-01 6.033718728242846163e-01 1.923464496831398529e+00 4.449010621249010455e+01
1.395000000000000000e+02 6.793797585373159142e-01 6.046698584370704399e-01 1.924877472209165274e+00 4.462499027811648489e+01
1.400000000000000000e+02 6.793766263130220917e-01 6.017891925455365332e-01 1.926069129791482482e+00 4.474928800596114087e+01
1.405000000000000000e+02 6.787600368275410467e-01 6.051978440377869806e-01 1.918508425016885344e+00 4.482562993358094872e+01
1.410000000000000000e+02 6.877583578701395028e-01 6.051669219016406753e-01 1.926672040595734270e+00 4.489562245386226635e+01
1.415000000000000000e+02 6.839179927082922328e-01 6.060585354582102013e-01 1.919668472547126470e+00 4.504517979251473037e+01
1.420000000000000000e+02 6.771934546111749720e-01 6.110372039820048951e-01 1.928074283192604987e+00 4.512141248175907293e+01
1.425000000000000000e+02 6.799261243462993987e-01 6.129971380132400727e-01 1.928217707311595586e+00 4.518462872458015767e+01
1.430000000000000000e+02 6.860305556615637901e-01 6.104448838157202628e-01 1.925464764278354002e+00 4.530301323868405916e+01
1.435000000000000000e+02 6.797910240663096459e-01 6.100548358122734882e-01 1.927401390394233971e+00 4.539019388394023480e+01
1.440000000000000000e+02 6.922771041971146344e-01 6.078194240726297881e-01 1.931095078750700411e+00 4.544528564749555954e+01
1.445000000000000000e+02 6.923415651962870898e-01 6.079025393845709502e-01 1.932423742374669962e+00 4.546350779335426751e+01
1.450000000000000000e+02 6.881739073024771836e-01 6.142727527251030661e-01 1.932355625805284971e+00 4.557190286734888218e+01
1.455000000000000000e+02 6.854043339119835210e-01 6.135044925339669941e-01 1.939360235362396878e+00 4.566631841059316343e+01
1.460000000000000000e+02 6.929961861300247827e-01 6.137293806882546665e-01 1.937852963998759392e+00 4.568249697848438728e+01
1.465000000000000000e+02 6.998948550889899645e-01 6.126932744951157916e-01 1.945437958443708482e+00 4.579493249295531143e+01
1.470000000000000000e+02 6.985025817744821008e-01 6.118587124491301488e-01 1.944479561868765582e+00 4.597149907639290944e+01
1.475000000000000000e+02 7.049800382296020906e-01 6.180287011626036664e-01 1.942547789577363071e+00 4.614307782278469006e+01
1.480000000000000000e+02 7.078086365999169960e-01 6.174835588830706046e-01 1.948249052057095421e+00 4.631532355679533453e+01
1.485000000000000000e+02 6.987439088715946545e-01 6.159716369585548357e-01 1.947765931778073112e+00 4.650382299573939804e+01
1.490000000000000000e+02 7.024507279730674014e-01 6.199834643176227456e-01 1.950356854625020953e+00 4.665419848801068525e+01
1.495000000000000000e+02 7.061477760594840891e-01 6.189715465475040812e-01 1.956777721858153019e+00 4.676966342035041890e+01
1.500000000000000000e+02 7.024488443749374866e-01 6.213849902582014861e-01 1.954251015491590415e+00 4.690617246109499661e+01
1.505000000000000000e+02 7.039450562188332983e-01 6.212528306217499630e-01 1.956071547014416545e+00 4.701522324230229088e+01
1.510000000000000000e+02 7.035954595900749675e-01 6.223844002002502096e-01 1.959110388899583333e+00 4.712866612570172009e+01
1.515000000000000000e+02 7.044616163948247411e-01 6.231302295877295672e-01 1.962964871971452308e+00 4.730281206090521806e+01
1.520000000000000000e+02 7.036777395670008595e-01 6.249269145280700322e-01 1.963875150672932390e+00 4.742731491775759167e+01
1.525000000000000000e+02 6.944416581005016242e-01 6.247070061472408398e-01 1.975042439501170533e+00 4.755213403915796277e+01
1.530000000000000000e+02 6.979828517901256468e-01 6.227590750628452243e-01 1.971300609880586086e+00 4.769060580893780354e+01
1.535000000000000000e+02 6.994534107727805594e-01 6.264486363652429501e-01 1.973809817123701738e+00 4.778984761195939512e+01
1.540000000000000000e+02 7.014369958705783947e-01 6.270766206119865460e-01 1.981730079657167076e+00 4.787792923280326818e+01
1.545000000000000000e+02 6.997758150947147593e-01 6.292864118356543690e-01 1.980793382235402467e+00 4.791501854597449039e+01
1.550000000000000000e+02 6.990586200402182371e-01 6.267723403225020640e-01 1.978375732565323064e+00 4.796641477557022881e+01
1.555000000000000000e+02 6.970818147697478429e-01 6.310984914723529737e-01 1.986443496802521080e+00 4.798882136468358794e+01
1.560000000000000000e+02 7.037000624891506240e-01 6.287834494349031633e-01 1.981698453511270053e+00 4.805065776644154596e+01
1.565000000000000000e+02 7.120151295089224286e-01 6.287079052576600713e-01 1.982512376741834892e+00 4.813007163060586890e+01
1.570000000000000000e+02 7.043124208520640250e-01 6.358310374069924276e-01 1.993528082921819822e+00 4.814245001441263128e+01
1.575000000000000000e+02 7.083491446446037454e-01 6.302212243963744021e-01 1.989421060761467075e+00 4.818360175516841792e+01
1.580000000000000000e+02 7.086723966969619148e-01 6.341363911106329132e-01 1.990142360568354585e+00 4.825422549156533591e+01
1.585000000000000000e+02 7.090306337185809937e-01 6.305189493429897984e-01 1.997200755917483361e+00 4.830071156323297288e+01
1.590000000000000000e+02 7.031184521098056139e-01 6.338933738479288760e-01 2.001156810895689198e+00 4.835359491468667414e+01
1.595000000000000000e+02 7.071871281379864538e-01 6.336679219831640175e-01 1.994047459603468964e+00 4.838043939946658867e+01
1.600000000000000000e+02 7.069076747398814753e-01 6.323935142845892310e-01 2.000961502492294652e+00 4.848900094297403740e+01
1.605000000000000000e+02 7.114020212674575516e-01 6.340049965627965189e-01 2.003341924097203464e+00 4.851740375044457210e+01
1.610000000000000000e+02 7.088787108182358354e-01 6.359607945853263944e-01 2.003784044197794767e+00 4.855074071487376841e+01
1.615000000000000000e+02 7.067461681757214453e-01 6.375961391596773886e-01 2.002987281913922057e+00 4.856490314936031183e+01
1.620000000000000000e+02 7.045205479861511577e-01 6.352041680799490608e-01 2.007508817889889663e+00 4.856548051951889988e+01
1.625000000000000000e+02 7.040637570437924264e-01 6.372714812126701878e-01 2.009136891193962438e+00 4.871391562347555038e+01
1.630000000000000000e+02 7.079902570605105527e-01 6.381985784051914523e-01 2.013553109554212739e+00 4.882361865925637545e+01
1.635000000000000000e+02 7.039192126695058560e-01 6.376723777786200698e-01 2.007663570403492415e+00 4.894240390451538758e+01
1.640000000000000000e+02 7.113174874157714989e-01 6.416943543990621945e-01 2.008218849419352470e+00 4.909835855742992550e+01
1.645000000000000000e+02 7.098492463709044076e-01 6.399102984983787712e-01 2.013850994733105804e+00 4.929720749572710048e+01
1.650000000000000000e+02 7.143972577368915555e-01 6.385013287003415972e-01 2.017005153125960515e+00 4.947583399609126076e+01
1.655000000000000000e+02 7.132259983778633794e-01 6.418255516872648503e-01 2.014976022128803557e+00 4.964178662159922339e+01
1.660000000000000000e+02 7.137114849401197114e-01 6.395386456236954453e-01 2.020012520005047385e+00 4.981687494943611938e+01
1.665000000000000000e+02 7.134166286082191943e-01 6.451601544059074600e-01 2.017809809881592198e+00 4.999442295610705855e+01
1.670000000000000000e+02 7.123941588339331998e-01 6.411914510969151104e-01 2.018356091211482184e+00 5.008710364865296327e+01
1.675000000000000000e+02 7.166530055087478868e-01 6.463047230515437391e-01 2.026607588368782409e+00 5.018784574519263941e+01
1.680000000000000000e+02 7.207821114853217859e-01 6.441301459846352495e-01 2.017516547321545062e+00 5.029171552562966951e+01
1.685000000000000000e+02 7.186363685876289153e-01 6.461265406822166435e-01 2.028445093672680333e+00 5.040129365576780174e+01
1.690000000000000000e+02 7.178873529253654295e-01 6.482624109510748411e-01 2.028708777208168446e+00 5.051300548574324978e+01
1.695000000000000000e+02 7.201121680649742451e-01 6.431763270551634770e-01 2.024927164388124368e+00 5.058470356414964897e+01
1.700000000000000000e+02 7.192388072596900273e-01 6.446285597640826204e-01 2.036168803228337598e+00 5.074598708893319099e+01
1.705000000000000000e+02 7.126483205996552162e-01 6.481444691293964944e-01 2.032895250576207236e+00 5.088675061647884945e+01
1.710000000000000000e+02 7.099722736079377983e-01 6.463057994461605116e-01 2.037251045930802640e+00 5.098215390625309595e+01
1.715000000000000000e+02 7.124017723267701552e-01 6.510204196857513059e-01 2.032544146491018999e+00 5.101887557235698978e+01
1.720000000000000000e+02 7.100388087244597912e-01 6.485254337891961374e-01 2.037777059880207631e+00 5.105169085036583709e+01
1.725000000000000000e+02 7.170158167198096288e-01 6.509014812492214253e-01 2.044510370947059119e+00 5.108505657648089482e+01
1.730000000000000000e+02 7.215731972917749371e-01 6.501762202529004497e-01 2.046339566283896350e+00 5.117742034367706339e+01
1.735000000000000000e+02 7.207499905198438972e-01 6.531593068995666940e-01 2.043792551933795387e+00 5.123653187827515865e+01
1.740000000000000000e+02 7.161627485692974027e-01 6.564675911050303903e-01 2.044290788952818794e+00 5.128738155915019803e+01
1.745000000000000000e+02 7.197954404757813673e-01 6.514588699844616748e-01 2.044485430520399216e+00 5.134876967958349780e+01
1.750000000000000000e+02 7.153174441112944981e-01 6.570742367072979206e-01 2.050510709832580769e+00 5.146113737409072542e+01
1.755000000000000000e+02 7.194399154566087917e-01 6.540922844557391924e-01 2.054173021816695588e+00 5.157158295212484944e+01
1.760000000000000000e+02 7.173744000637946039e-01 6.588484777111401902e-01 2.048681238478502920e+00 5.163804599467067646e+01
1.765000000000000000e+02 7.190226904574041900e-01 6.546908451603659085e-01 2.044915280153484449e+00 5.166876542717812271e+01
1.770000000000000000e+02 7.221136419551875685e-01 6.566236029730601054e-01 2.052766212293897219e+00 5.178556376087787072e+01
1.775000000000000000e+02 7.227557700965967502e-01 6.571231134730366463e-01 2.054203375485776917e+00 5.182966794413385969e+01
1.780000000000000000e+02 7.207333616724891368e-01 6.555442141031441183e-01 2.057715183234672285e+00 5.183658806311767364e+01
1.785000000000000000e+02 7.225664726300699003e-01 6.583056500665211974e-01 2.056850037265209874e+00 5.192321028808125760e+01
1.790000000000000000e+02 7.218068158167978421e-01 6.580505563167978744e-01 2.065680111138057384e+00 5.203681225055446902e+01
1.795000000000000000e+02 7.234092154225043592e-01 6.574264805202276740e-01 2.055173052107268195e+00 5.213918822007600085e+01
1.800000000000000000e+02 7.250674715631025835e-01 6.598766231797545956e-01 2.064286075655214603e+00 5.224729618864432013e+01
1.805000000000000000e+02 7.207322753978948615e-01 6.591884283106140829e-01 2.068344008789649191e+00 5.236662653315737259e+01
