Job: 7873891  |  Node: d1029  |  Thu Jun 25 04:06:35 PM EDT 2026
No restart file found -- starting fresh.
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0625 16:07:25.840000 1925552 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0.051377743 0.051377743 0.051377743) to (17.911841 17.911841 17.911841)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  501 atoms
  reading velocities ...
  501 velocities
  read_data CPU = 0.104 seconds
1 atoms in group H_atom
500 atoms in group metal
### Phase 1: Equilibration 1000 ps at 400 K ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 113.3 | 113.3 | 113.3 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
    128000   397.02147     -3231.8841      25.659526     -3206.2246      27237.182      5697.4192    
    129000   422.96236     -3233.2262      27.336088     -3205.8902      25678.409      5697.4192    
    130000   401.23901     -3232.9653      25.932106     -3207.0332      26066.063      5697.4192    
    131000   382.26739     -3233.5349      24.705969     -3208.8289      28259.313      5697.4192    
    132000   389.86851     -3234.321       25.19723      -3209.1238      24792.856      5697.4192    
    133000   399.12346     -3231.22        25.795378     -3205.4246      28936.127      5697.4192    
    134000   411.10313     -3232.3781      26.569625     -3205.8085      28234.785      5697.4192    
    135000   379.61091     -3232.9742      24.534281     -3208.4399      26327.677      5697.4192    
    136000   395.5085      -3231.4434      25.561743     -3205.8817      26660.248      5697.4192    
    137000   422.25916     -3231.5996      27.29064      -3204.3089      29382.069      5697.4192    
    138000   412.10047     -3234.265       26.634083     -3207.6309      26064.819      5697.4192    
    139000   386.46048     -3232.8173      24.976969     -3207.8403      25321.386      5697.4192    
    140000   437.54631     -3231.7112      28.278649     -3203.4326      27609.679      5697.4192    
    141000   422.98712     -3232.6238      27.337688     -3205.2861      25431.22       5697.4192    
    142000   392.05611     -3232.317       25.338615     -3206.9784      26475.911      5697.4192    
    143000   390.65743     -3232.2219      25.248218     -3206.9737      28076.517      5697.4192    
    144000   393.5149      -3230.7101      25.432897     -3205.2772      28992.272      5697.4192    
    145000   399.31356     -3231.7996      25.807664     -3205.9919      27048.479      5697.4192    
    146000   386.21221     -3232.4221      24.960923     -3207.4612      24980.586      5697.4192    
    147000   399.30619     -3233.653       25.807188     -3207.8458      24404.462      5697.4192    
    148000   450.78297     -3230.9141      29.134136     -3201.78        29001.942      5697.4192    
    149000   390.9867      -3233.1597      25.269499     -3207.8902      25897.879      5697.4192    
    150000   388.56796     -3233.614       25.113175     -3208.5009      25779.343      5697.4192    
    151000   417.14092     -3231.0731      26.959848     -3204.1133      27288.516      5697.4192    
